,sim_rt_mean,sim_rt_std
DW2F4HTC,411.408,217.98056403989227
PH1KFTJ7,503.13256628314156,292.06664283828496
V3Z0YVUT,524.5595,310.9517035501179
V25NXUTA,374.1445,180.1845272260519
BXK5N7Y1,499.3655,296.62665692170737
GEHCD5AD,424.3625,220.99387149731027
Z5G203VB,430.7665,223.5855143314509
1NZMD6UK,356.3705,161.43931539754502
UN80YW88,453.7555,246.26123937550418
6G091ALC,456.836,261.96952135517506
4XTDZ6WT,342.1495,154.4142967385748
GMRMU1HU,516.6865,290.4712222979096
EZ910AGY,467.6745,257.4055484210256
R9Z48Y9H,446.059,241.9438239053913
LVT4DDY4,447.574,247.86872528919062
BGYWYRGH,409.1725,206.95313368857637
M278A3KW,423.6695,221.0040625590032
0CBFTKR7,446.3425,241.83296463704562
8JJXHDK8,406.515,201.23397658364215
5GZ1,356.058,165.48251529220155
V5YL6694,451.507,240.6904378957486
EPP7,370.645,179.57489118964511
WXLHTR31,497.301,288.1095276955875
L7GG9GJV,474.657,265.50605470222666
0A4P0LWM,448.014,244.29125426927635
8X4L319G,487.5645,276.5715382095992
5UEM3B36,316.5045,135.03515552019473
F0C17HWX,444.5915,227.0453708578177
NCM6KXZT,364.548,185.97358894179558
X6FUJZVN,379.523,181.26893193220377
70NBRYWP,440.3925,237.24312971095188
E6E13XJZ,420.1075,217.41805870229578
YMPEHMMT,606.0925462731366,379.71929326958207
EEEJ9XTB,427.631,229.61540335031503
PG04NJDC,540.399,322.81802387299973
F5JET3CJ,473.184,263.9945599967051
RFBB766M,428.809,222.33383387564504
ECGB83RY,393.566,197.42217048928507
EE6R9ATH,402.095,207.79880689521184
G53DP835,488.5475,279.58313809903603
5KKUBDAY,459.1775,256.14050435793314
JF4JACN3,428.176,233.03264820957125
2CVVEP68,430.6095,227.34829586686325
R81GJYNH,485.1395,268.8875625617522
REBJBCWX,545.655,332.1553169110441
T0YVV9PU,433.099,230.41908922079062
LN7EJAJZ,386.283,194.6707509145398
V7Z95HZ1,375.5335,182.99403893813985
1GKF0X1J,476.7965,259.44241031466873
EBVE1NF9,480.665,275.7835166376419
LK4TZNUP,410.0265,205.38124920866866
4W2U0GZN,451.3625,247.87720679516764
WTBYH8YK,568.255,348.9519188883304
HT4E,446.2825,255.16834861874702
7MR18DLV,470.2785,266.46732699512705
F9XMG0N0,426.739,222.6962880187918
5NNKMGJE,450.2,246.8930782667834
5UZDXP10,502.1645,292.92602524849843
6X9N1DLT,496.19,267.83131016621763
KDR815ZJ,415.3475,216.52209044708528
ETNF2G44,344.3185,156.41846574481858
EC7WAR53,459.1765,248.80069582071195
JRFFW8YT,448.1885,241.80094875156834
MNJ9X217,373.2015,178.3142952533415
B4XP9VV8,427.882,220.58994092437334
1APPZYY8,516.9645,292.3226359717987
TY4J79EA,382.551,182.6670003462797
C2V6LPG4,450.656,240.70858517196214
MENCHP62,500.66,286.84678478060283
385XPJ9D,477.8405,270.64925192679596
Y5VUA73W,417.6995,212.27929821340325
2GRXYP02,488.0905,271.2230858369092
YZ0U1DGC,413.777,217.0304895347514
TFBVU6CV,518.625,300.95265844699423
1V7XPJKR,410.764,217.24235872686666
619DWVEK,425.9335,220.28728588348207
38MDKPJC,454.2305,248.4264281731262
1164KR5T,343.924,156.82004491532206
230CTHZE,436.697,233.1817146498059
7KNCDTVE,488.532,277.530752593866
1b7g7lnd,319.356,138.6910121905209
EBVXV8NL,499.125,278.6548324232264
3P7MECT8,404.1765,199.51916022126218
RHDYNX5V,414.7765,215.6596672857419
9R3YVGD6,470.1235,259.21228704022946
HXHUVGJG,439.173,228.69728528154323
4TX1YAGG,454.7515,245.88980386663613
H68V9XMJ,381.42,187.21054055059676
VGMX0BPT,431.4485,231.89989462764783
9N22J93H,401.2465,201.75977359441708
VGLF61WZ,451.085,242.73047360479526
8D63FJKZ,419.1995,219.85738863048863
EWU2,530.5195,316.643635994564
EYAX14LC,454.324,258.4206447612485
UL9WW7ET,523.7035,306.0259491097352
FLPJWCHN,381.9225,185.87958764830032
T15ZEHBH,407.1055,205.55570764204555
9ZAVYK55,371.572,173.20293717117605
FLL0YDNF,402.3475,200.89192748095556
2PHYK8FE,460.408,244.4657261900752
GO59BTMJ,420.626,225.95939446717853
G22CUD0M,448.5365,246.85175422109322
M86N4GZV,488.267,266.69296443595925
EKJJFW9J,340.983,152.66126372371238
AD527HMC,443.4305,242.96071518727499
T4NLHUX4,392.796,194.71672677467367
NU82PG6M,384.1105,191.93844188303248
Y31GAJRD,419.6305,216.36841640026344
GYPFNZZZ,491.166,273.87530608954654
FTJ00JVU,447.0375,240.42401283300168
N98DVNK8,473.5767883941971,280.67689342015797
HV3CWUXR,510.8665,298.23668996179805
DR3M36J1,399.237,207.237929952037
VUP2JXUY,519.5052526263131,300.7035241843377
U6F8X730,518.6805,301.1226441886621
NKL9ZDUT,510.042,299.9409350493179
MT5RKZJE,471.608,268.17832153638193
BM143U2H,437.697,241.74391667966708
KUTFEERM,420.713,219.12439019924298
56P2568B,449.6665,251.74898421498474
C9XCZW0F,377.108,184.0424411544061
RC238TRX,511.80040020010006,303.24098960664526
2NZV8ELL,462.065,263.5351440720583
