,gen-vanilla_SSRT-vanilla,gen-vanilla_SSRT-w_guesses,gen-vanilla_SSRT-w_graded,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded
CMGFWG2E,281.7,268.7995418243403,373.8500000000001,292.73333333333335,281.9964889372937,387.1333333333334,228.89999999999992,209.37325957882965,290.6833333333333
CMZW3E54,289.3333333333333,259.08841473924195,424.8999999999999,312.4,288.32019394200097,450.68333333333334,216.26666666666665,166.13474978497794,304.03333333333336
CN1HRZGC,280.5333333333333,269.545079320298,363.9166666666667,290.41666666666663,281.4131556039604,375.5,233.0166666666666,216.80288336737874,288.6
CN8DWC2V,307.8833333333334,199.13894650960643,737.3,375.23333333333335,292.8027639375228,797.0999999999998,219.48333333333335,78.4163315130538,369.1833333333333
CNCRDPTT,291.66666666666674,243.80394448154235,492.71666666666664,323.86666666666673,286.82287681638337,529.2666666666668,225.74999999999994,158.2377086673466,317.31666666666666
CNEJ2G76,284.8333333333333,265.79574750822155,393.70000000000005,300.2166666666667,284.6964889372937,413.56666666666666,222.76666666666665,192.1783591357174,295.4666666666667
CNGUX127,312.3833333333333,193.3973735452837,793.7833333333334,386.84999999999997,294.00642027978364,899.4499999999999,219.0,65.0626163136935,376.85
CNW0CYU4,283.68333333333334,269.19426547016053,389.41666666666674,295.9833333333333,283.629822270627,404.34999999999997,221.5333333333333,199.34489753707135,293.5666666666667
CP16BG12,326.01666666666665,171.6768609287198,1076.6166666666666,424.04999999999995,294.1023797377078,1319.9833333333333,220.89999999999998,39.09545527705581,417.8
CP2K1NFW,321.7333333333333,174.61431755241546,998.0666666666666,414.16666666666663,294.2030346131925,1189.8833333333332,220.59999999999997,42.659562358750065,408.19999999999993
CP3Z2564,284.23333333333335,265.7732540026202,388.6833333333334,299.2166666666667,284.279822270627,408.04999999999995,225.08333333333334,195.41169246905073,294.5666666666667
CP854T1A,283.94999999999993,267.46417965025637,389.0999999999999,297.59999999999997,283.92982227062697,406.2833333333333,223.2166666666666,197.08263542124058,294.0833333333333
CP9MXC42,294.95,246.29986054326795,518.1500000000001,329.51666666666665,290.04127286005536,578.9666666666667,215.73333333333335,144.55268308874,320.50000000000006
CPJU37VH,297.9666666666666,231.4618499717292,505.43333333333334,341.2333333333333,292.54928457891253,523.4666666666666,216.03333333333333,115.35015436674963,326.70000000000005
CPKCD2H0,325.0333333333333,171.222210740199,1055.2333333333333,422.1,294.20410096486796,1277.0833333333335,220.93333333333334,38.79634917310566,416.06666666666666
CPMC364N,280.96666666666664,269.23342564242853,366.15000000000003,291.3666666666667,281.7964889372937,378.54999999999995,232.2666666666666,214.93621670071207,289.15000000000003
CPPYNGF9,299.1499999999999,226.3708651712011,539.85,345.8499999999999,292.11855744879267,567.0333333333332,217.39999999999998,110.12557296132435,332.69999999999993
CPUDHWZM,288.8833333333333,258.45493574369476,421.54999999999995,311.44999999999993,287.63686060866763,447.0666666666666,217.2166666666666,167.61612636546863,302.98333333333335
CR43W7MR,281.2166666666667,266.45542707547844,388.56666666666666,293.0333333333333,280.52545059434067,412.6166666666667,235.96666666666664,216.96474875374997,292.0166666666667
CR5CRNZU,320.95,185.0126149498364,950.35,407.99999999999994,294.1646179403587,1168.0333333333333,219.63333333333335,51.60304879395666,395.93333333333334
