,gen-guesses_SSRT-vanilla,gen-guesses_SSRT-w_guesses,gen-guesses_SSRT-w_graded,gen-graded_mu_go_log_SSRT-vanilla,gen-graded_mu_go_log_SSRT-w_guesses,gen-graded_mu_go_log_SSRT-w_graded,gen-standard_SSRT-vanilla,gen-standard_SSRT-w_guesses,gen-standard_SSRT-w_graded
FBU7WX6N,274.5666666666666,262.6627877971732,227.73333333333332,212.89999999999998,202.99434995873736,249.06666666666672,262.8833333333333,251.58884939254244,137.75
FBV98M5D,284.5833333333333,264.221696724853,302.2166666666667,200.6833333333333,183.68936414858527,403.43333333333334,264.81666666666666,245.57381265989963,171.73333333333332
FC0XL0E1,267.78333333333325,261.6281969492933,187.59999999999997,222.90000000000003,217.41256266505957,157.93333333333328,262.1166666666667,256.12365932013813,173.86666666666665
FC12GLF0,284.5833333333333,264.2683552546862,361.81666666666655,200.38333333333333,183.24161484450235,445.15,264.76666666666665,245.61676368662805,
FC8MZRJA,297.7,269.2009992003762,552.05,199.2833333333333,169.88360143828453,843.1999999999999,271.25,244.06748258574075,
FCDUAV74,272.81666666666666,261.9115302826266,158.21666666666667,209.13333333333335,199.97591947465324,150.9666666666667,261.8,251.51371362653936,104.85000000000002
FCGPVMUP,278.6,262.7794544638399,197.9,202.36666666666667,189.36308179970845,248.83333333333334,262.79999999999995,247.91748155947988,89.89999999999999
FCLB0ERE,283.3833333333333,264.72751253994545,312.3333333333333,203.63333333333333,186.21320325679602,405.68333333333334,265.45,247.79456578630578,
FCN9U0EN,280.26666666666665,263.1025150290932,265.4166666666667,201.54999999999998,187.56149104032505,325.21666666666664,263.2166666666667,247.05901231174607,107.63333333333333
FCVZ66WZ,283.41666666666663,264.0516885880195,326.33333333333337,201.38333333333333,184.96182749900356,414.2,264.5833333333333,246.2983488936929,
FD0FRKNT,267.44999999999993,263.5448636159599,211.4666666666666,243.09999999999994,239.62922933172618,201.2833333333333,263.41666666666663,259.6403259868048,200.23333333333323
FD5FBUC7,290.0333333333333,266.2197548009586,395.0499999999999,200.54999999999998,178.70362258887766,553.3000000000001,267.43333333333334,244.85586973352497,
FD69AWTA,268.35,262.0781969492933,178.71666666666664,224.86666666666667,219.4215874519487,155.61666666666665,262.3333333333333,256.2903259868047,162.18333333333334
FD9X0A8E,283.46666666666664,264.05808248660605,323.4666666666667,201.44999999999996,185.05457463919603,433.11666666666656,264.6166666666666,246.23141054662264,
FDCGB66W,275.81666666666666,262.3230605652533,235.95,206.91666666666666,195.723302147835,251.89999999999998,262.6,249.85054321240966,122.68333333333334
FDM0PRRA,272.99999999999994,261.8281969492933,141.63333333333333,207.93333333333328,198.5476983376355,145.39999999999998,261.8,251.25201980667202,92.51666666666664
FDUYJP8Z,287.46666666666664,266.17043423201096,340.3,202.1,180.90276177509318,534.95,267.21666666666664,246.9167953585769,
FE7U8CVF,283.95000000000005,264.8618143460783,306.4333333333333,202.26666666666665,183.97625071287462,451.2666666666667,265.7,247.6138013214934,
FEFFUF2J,282.76666666666665,264.0098774004793,255.16666666666669,201.26666666666665,184.8841280337953,363.1333333333333,264.5166666666667,246.8035372494931,
FEKGBDCL,270.2833333333333,262.75430994296636,212.3,225.0333333333334,217.983343864496,211.19999999999996,263.3,256.0060032486135,
FEL8XU1V,283.65,261.0230605652533,230.08333333333337,244.39999999999998,222.07859178426145,235.09999999999997,260.20000000000005,237.91868647333874,191.16666666666663
FF0AUTMG,276.54999999999995,262.56278779717326,196.91666666666669,205.36666666666665,193.72168715446665,224.9166666666667,262.55,249.33912107294597,111.5
FF1FE8EN,274.8166666666666,262.41584022559294,206.3,208.76666666666665,197.8648133403221,235.76666666666665,262.86666666666656,251.09578587461112,
FF2DJENX,276.0333333333333,262.89195321926604,230.91666666666666,208.63333333333333,196.65549152980597,277.55,263.45,250.92785812268292,
FF516WUR,295.6333333333333,269.85763647824695,539.5333333333333,199.80000000000004,169.07925050868175,972.2666666666667,271.78333333333336,246.91993519069592,
