ID,SSRT_mean,SSRT_integration,SSRT_omission,SSRT_replacement,mean_SSD,p_respond,max_RT,mean_go_RT,mean_stopfail_RT,omission_count,omission_rate,go_acc,stopfail_acc
44,89.82923076923078,91.0,91.0,91.0,275.0,0.5467948717948717,1000.0,364.8292307692308,378.6616647127784,0,0.0,,
45,131.78615384615387,123.0,123.0,123.0,275.0,0.5133333333333333,1000.0,406.78615384615387,413.7524975024975,0,0.0,,
46,153.62153846153848,146.0,146.0,146.0,275.0,0.5080769230769231,1000.0,428.6215384615385,426.3850618218521,0,0.0,,
47,190.82153846153847,159.0,159.0,159.0,275.0,0.43923076923076926,1000.0,465.82153846153847,459.10274372446,0,0.0,,
48,305.5117004680187,216.0,217.0,217.0,275.0,0.2765384615384615,1000.0,580.5117004680187,516.884561891516,9,0.013846153846153847,,
49,135.78769230769228,128.0,128.0,128.0,275.0,0.5011538461538462,1000.0,410.7876923076923,412.54566385264775,0,0.0,,
50,111.44307692307694,98.0,98.0,98.0,275.0,0.4867948717948718,1000.0,386.44307692307694,396.0671582828549,0,0.0,,
51,390.03511705685617,238.0,252.0,252.0,275.0,0.16948717948717948,1000.0,665.0351170568562,550.2435703479576,52,0.08,,
52,179.40677966101697,157.0,157.0,157.0,275.0,0.4408974358974359,1000.0,454.40677966101697,444.4425705146845,1,0.0015384615384615385,,
53,206.99846153846153,162.0,162.0,162.0,275.0,0.3902564102564103,1000.0,481.9984615384615,464.60611038107754,0,0.0,,
54,108.63846153846151,103.0,103.0,103.0,275.0,0.5232051282051282,1000.0,383.6384615384615,396.6079392305807,0,0.0,,
55,48.8630769230769,60.0,60.0,60.0,275.0,0.6178205128205129,1000.0,323.8630769230769,349.3108528740403,0,0.0,,
56,327.16693163751984,221.0,225.0,225.0,275.0,0.24884615384615386,1000.0,602.1669316375198,523.2812982998454,21,0.03230769230769231,,
57,217.06779661016947,172.0,172.0,172.0,275.0,0.3812820512820513,1000.0,492.06779661016947,468.1482851378615,1,0.0015384615384615385,,
58,96.83692307692309,99.0,99.0,99.0,275.0,0.5621794871794872,1000.0,371.8369230769231,380.01482326111744,0,0.0,,
59,128.62153846153848,124.0,124.0,124.0,275.0,0.5278205128205128,1000.0,403.6215384615385,411.71751275200387,0,0.0,,
60,166.0876923076923,141.0,141.0,141.0,275.0,0.4452564102564103,1000.0,441.0876923076923,440.68816585084943,0,0.0,,
61,144.27692307692308,132.0,132.0,132.0,275.0,0.4926923076923077,1000.0,419.2769230769231,421.56674473067915,0,0.0,,
62,297.3940809968848,219.0,221.0,221.0,275.0,0.30833333333333335,1000.0,572.3940809968848,509.5692307692308,8,0.012307692307692308,,
63,95.53692307692307,99.0,99.0,99.0,275.0,0.5817948717948718,1000.0,370.5369230769231,385.18664609960337,0,0.0,,
64,174.89368258859787,157.0,157.0,157.0,275.0,0.47717948717948716,1000.0,449.89368258859787,448.15878559914023,1,0.0015384615384615385,,
65,171.44461538461536,152.0,152.0,152.0,275.0,0.45294871794871794,1000.0,446.44461538461536,441.0039626379847,0,0.0,,
66,134.9723076923077,136.0,136.0,136.0,275.0,0.526025641025641,1000.0,409.9723076923077,415.2744333414575,0,0.0,,
