,standard,standard,standard,standard,guesses,guesses,guesses,guesses,graded_go,graded_go,graded_go,graded_go,graded_both,graded_both,graded_both,graded_both,fixed,fixed,fixed,fixed,tracking,tracking,tracking,tracking
underlying distribution,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard,graded_both,graded_go,guesses,standard
NARGUID,,,,,,,,,,,,,,,,,,,,,,,,
022ZVCT8,248.80000000000004,218.46666666666667,290.1333333333334,287.34999999999997,231.03783772621324,199.5529860297074,275.01751401124966,270.8036427335924,327.3666666666667,285.71666666666664,391.79999999999995,372.6333333333333,327.3666666666667,285.71666666666664,391.79999999999995,372.6333333333333,282.0,219.0,333.0,288.0,260.872,210.862,341.92400000000004,280.346
028D3ELL,257.06666666666666,210.2833333333333,316.6,283.01666666666665,226.87937778071117,176.15744156091455,287.6086859573412,253.59396029420088,359.78333333333336,289.51666666666665,438.8666666666667,393.1333333333333,359.78333333333336,289.51666666666665,438.8666666666667,393.1333333333333,280.0,212.0,340.0,285.0,260.094,205.19600000000003,345.38,275.176
028WCTG6,271.7666666666666,205.26666666666665,322.5333333333333,291.38333333333327,228.22576213755565,158.2398442902988,283.936745020143,251.02381788569306,386.4333333333333,290.34999999999997,469.19999999999993,415.73333333333335,386.4333333333333,290.34999999999997,469.19999999999993,415.73333333333335,286.0,213.0,337.0,291.0,252.73,211.264,339.944,279.126
029PWCFY,288.84999999999997,209.64999999999998,341.16666666666663,288.45,236.72012762633676,146.67697180414228,290.49413630595,235.99966619548172,495.2,298.38333333333327,561.1833333333333,440.2666666666667,495.2,298.38333333333327,561.1833333333333,440.2666666666667,278.0,216.0,340.0,289.0,258.31,207.742,342.35,279.244
02EBX0JJ,255.74999999999997,221.41666666666666,295.9833333333333,287.3,238.3933233214969,200.42531718738016,279.93575809790354,269.4866790670256,335.46666666666664,283.68333333333334,398.79999999999995,373.99999999999994,335.46666666666664,283.68333333333334,398.79999999999995,373.99999999999994,281.0,216.0,337.0,294.0,258.492,204.392,338.702,281.334
02JXJUZG,255.91228070175433,223.1754385964912,296.98245614035085,286.45614035087715,236.373052191202,200.08419281529157,278.9653594938086,267.2138587114565,330.719298245614,284.2631578947369,394.24561403508767,374.43859649122805,330.719298245614,284.2631578947369,394.24561403508767,374.43859649122805,284.0,215.0,333.0,287.0,260.56600000000003,206.15200000000002,344.3300000000001,281.06600000000003
02RCED7D,257.0,217.14999999999998,309.0666666666667,287.3833333333333,229.60142995390427,185.2459035113238,284.22817834873325,260.0900695823454,348.7,286.65000000000003,424.5666666666667,386.88333333333327,348.7,286.65000000000003,424.5666666666667,386.88333333333327,276.0,214.0,338.0,288.0,264.67400000000004,204.59400000000002,341.504,277.778
02UVMTY7,255.96666666666664,214.28333333333327,298.43333333333334,285.4166666666667,234.2458678461507,189.94238307453801,278.02669884054006,262.45354092651183,343.91666666666674,290.1166666666667,410.6333333333334,381.4666666666666,343.91666666666674,290.1166666666667,410.6333333333334,381.4666666666666,284.0,214.0,331.0,285.0,260.908,206.762,347.088,280.05400000000003
02WP3TP6,262.20000000000005,212.63333333333333,316.5666666666667,287.6333333333334,225.0908033586124,169.46759409063063,283.23154607200763,250.08994975871602,372.90000000000003,290.5166666666667,460.0,402.8999999999999,372.90000000000003,290.5166666666667,460.0,402.8999999999999,277.0,214.0,336.0,289.0,267.902,206.7,341.256,278.85200000000003
030W95VP,265.84999999999997,210.79999999999998,307.7333333333333,296.04999999999995,235.3521837702114,179.15760181976586,281.39229073731036,267.1754081594855,356.2166666666667,291.35,429.73333333333335,397.7166666666666,356.2166666666667,291.35,429.73333333333335,397.7166666666666,286.0,211.0,334.0,294.0,252.09599999999998,208.484,345.02,285.492
030X9ZNH,260.3684210526316,224.8070175438596,292.4736842105263,287.4385964912281,248.94818375998497,212.7362896556842,282.442381166829,277.21034037218095,325.21052631578937,284.92982456140345,370.7894736842106,361.68421052631584,325.21052631578937,284.92982456140345,370.7894736842106,361.68421052631584,280.0,214.0,333.0,292.0,260.742,203.274,345.088,280.254
0314RN9P,281.0576923076923,221.7692307692308,322.59615384615387,288.67307692307696,245.46988737028758,177.80062445902195,288.39629375007183,252.82650902776902,440.9807692307692,290.0961538461539,490.5576923076923,408.51923076923083,440.9807692307692,290.0961538461539,490.5576923076923,408.51923076923083,280.0,213.0,338.0,289.0,268.092,210.41400000000002,346.19199999999995,289.06
03BDCNWM,255.11666666666665,204.36666666666662,320.9,282.05,226.09021789166283,171.23522548054592,291.72336226240463,253.4879489239714,360.4333333333333,290.3833333333334,449.81666666666666,402.8833333333333,360.4333333333333,290.3833333333334,449.81666666666666,402.8833333333333,276.0,207.0,341.0,286.0,264.736,201.048,341.656,284.88
